,"ï»¿""MEASURE""",Measure,REGIONTYPE,Geography Level,LGA_2015,Region,Councillors (non mayor),FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
269,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34530,Livingstone (S),6,A,Annual,2015,2015,37001,,
270,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34570,Lockhart River (S),4,A,Annual,2015,2015,548,,
271,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34580,Lockyer Valley (R),6,A,Annual,2015,2015,38798,,
272,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34590,Logan (C),12,A,Annual,2015,2015,308681,,
273,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34710,Longreach (R),6,A,Annual,2015,2015,4092,,
274,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34770,Mackay (R),10,A,Annual,2015,2015,123724,,
275,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34800,McKinlay (S),4,A,Annual,2015,2015,1062,,
276,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34830,Mapoon (S),4,A,Annual,2015,2015,294,,
277,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34860,Maranoa (R),8,A,Annual,2015,2015,13862,,
278,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34880,Mareeba (S),6,A,Annual,2015,2015,21833,,
279,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35010,Moreton Bay (R),12,A,Annual,2015,2015,425482,,
280,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35250,Mornington (S),4,A,Annual,2015,2015,1225,,
281,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35300,Mount Isa (C),6,A,Annual,2015,2015,22517,,
282,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35600,Murweh (S),4,A,Annual,2015,2015,4626,,
283,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35670,Napranum (S),4,A,Annual,2015,2015,962,,
284,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35740,Noosa (S),6,A,Annual,2015,2015,53515,,
285,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35760,North Burnett (R),6,A,Annual,2015,2015,10292,,
286,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35780,Northern Peninsula Area (R),5,A,Annual,2015,2015,2714,,
287,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35790,Palm Island (S),4,A,Annual,2015,2015,2671,,
288,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),35800,Paroo (S),4,A,Annual,2015,2015,1841,,
289,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36070,Pormpuraaw (S),4,A,Annual,2015,2015,743,,
290,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36150,Quilpie (S),4,A,Annual,2015,2015,948,,
291,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36250,Redland (C),10,A,Annual,2015,2015,149989,,
292,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36300,Richmond (S),5,A,Annual,2015,2015,832,,
293,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36370,Rockhampton (R),7,A,Annual,2015,2015,83653,,
294,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36510,Scenic Rim (R),6,A,Annual,2015,2015,39757,,
295,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36580,Somerset (R),6,A,Annual,2015,2015,24007,,
296,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36630,South Burnett (R),6,A,Annual,2015,2015,32575,,
297,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36660,Southern Downs (R),8,A,Annual,2015,2015,35738,,
298,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36720,Sunshine Coast (R),10,A,Annual,2015,2015,287539,,
299,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36820,Tablelands (R),6,A,Annual,2015,2015,24997,,
300,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36910,Toowoomba (R),10,A,Annual,2015,2015,163232,,
301,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36950,Torres (S),4,A,Annual,2015,2015,3665,,
302,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),36960,Torres Strait Island (R),15,A,Annual,2015,2015,4635,,
303,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),37010,Townsville (C),10,A,Annual,2015,2015,193946,,
304,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),37300,Weipa (T),7,A,Annual,2015,2015,3966,,
305,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),37310,Western Downs (R),8,A,Annual,2015,2015,33799,,
306,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),37340,Whitsunday (R),6,A,Annual,2015,2015,34312,,
307,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),37400,Winton (S),5,A,Annual,2015,2015,1359,,
308,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),37550,Woorabinda (S),4,A,Annual,2015,2015,1001,,
309,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),37570,Wujal Wujal (S),4,A,Annual,2015,2015,296,,
310,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),37600,Yarrabah (S),4,A,Annual,2015,2015,2686,,
