,0,1,2,3,4
81,Liverpool Plains Shire Council,COUNCIL,2030.2,6227,9
82,Local Government NSW,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
83,Lockhart Shire Council,COUNCIL,3378.8,29361,9
84,Macarthur Regional Organisation of Councils (MACROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
85,Maitland City Council,COUNCIL,257.8,21047,9
86,Mid North Coast Regional Organisation of Councils (MIDROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
87,Mid-Coast Council,COUNCIL,15.6,60411,12
88,Mid-Western Regional Council,COUNCIL,85.4,119027,10
89,MidCoast County Council,COUNTY COUNCIL,,,
90,Moree Plains Shire Council,COUNCIL,3589.1,9538,9
91,Mosman Municipal Council,COUNCIL,14973.2,6748,10
92,Murray River Council,COUNCIL,648.3,200796,13
93,Murrumbidgee Council,COUNCIL,10.5,33996,9
94,Muswellbrook Shire Council,COUNCIL,1167.2,11539,9
95,Nambucca Shire Council,COUNCIL,10.6,57266,12
96,Namoi Regional Organisation of Councils (NamoiROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
97,Narrabri Shire Council,COUNCIL,1289.6,44637,11
98,Narrandera Shire Council,COUNCIL,4513.8,21118,9
99,Narromine Shire Council,COUNCIL,305.5,195355,11
100,New England Tablelands (Noxious Plants) County Council,COUNTY COUNCIL,,,
101,Newcastle City Council,COUNCIL,5086.4,7763,7
102,North Sydney Council,COUNCIL,2895.8,3021,9
103,Northern Beaches Council,COUNCIL,391.7,73447,13
104,Northern Rivers Regional Organisation of Councils (NOROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
105,Northern Sydney Regional Organisation of Councils (NSROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
106,Oberon Council,COUNCIL,14.4,44232,9
107,Orana Regional Organisation of Councils (OROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
108,Orange City Council,COUNCIL,16.5,82523,12
109,Parkes Shire Council,COUNCIL,8757.9,23843,9
110,"Parramatta Council, City of",COUNCIL,0,,
111,Penrith City Council,COUNCIL,8.7,29983,7
112,Port Macquarie-Hastings Council,COUNCIL,4344,7418,9
113,Port Stephens Council,COUNCIL,3507.1,2503,6
114,Queanbeyan-Palerang Regional Council,COUNCIL,3407.1,16851,12
115,Randwick City Council,COUNCIL,1492.8,19529,9
116,Richmond River County Council,COUNTY COUNCIL,,,
117,Richmond Valley Council,COUNCIL,13027.8,13685,12
118,Riverina and Murray Regional Organisation of Councils (RAMROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
119,Riverina Eastern Regional Organisation of Councils (REROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
120,Riverina Water County Council,COUNTY COUNCIL,,,
121,Rockdale City Council,COUNCIL,4116.9,6030,9
122,Rous County Council,COUNTY COUNCIL,,,
123,"Ryde, Council of the City of ",COUNCIL,5263.9,6872,9
124,Shellharbour City Council,COUNCIL,186.9,158553,13
125,Shires Association - Division A,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
126,Shires Association - Division B,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
127,Shires Association - Division C,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
128,Shires Association - Division D,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
129,Shires Association - Division E,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
130,Shires Association - Division F,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
131,Shires Association - Division G,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
132,Shires Association - Division H,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
133,Shires Association - Division J,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
134,Shoalhaven City Council,COUNCIL,10.5,69248,13
135,Shore Regional Organisation of Councils (SHOROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
136,Singleton Shire Council,COUNCIL,3628,5270,9
137,Snowy Monaro Regional Council,COUNCIL,284.1,40869,12
138,Snowy Valleys Council,COUNCIL,5146.7,15306,9
139,South East Regional Organisation of Councils (SEROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
140,Southern Councils Group,REGIONAL ORGANISATIONS OF COUNCILS,,,
141,Southern Slopes County Council,COUNTY COUNCIL,,,
142,Southern Sydney Regional Organisation of Councils (SSROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
143,Strathfield Municipal Council,COUNCIL,5958.1,15087,10
144,Sutherland Shire Council,COUNCIL,61.4,184622,15
145,Sydney Coastal Councils Group Inc,REGIONAL ORGANISATIONS OF COUNCILS,,,
146,Council of The City Of Sydney,COUNCIL,404.8,190428,15
147,Tamworth Regional Council,COUNCIL,90.4,62070,9
148,Temora Shire Council,COUNCIL,3686.1,76563,9
149,Tenterfield Shire Council,COUNCIL,859,68935,10
150,Tweed Shire Council,COUNCIL,172.4,40568,10
151,Upper Hunter County Council,COUNTY COUNCIL,,,
152,Upper Hunter Shire Council,COUNCIL,36.3,142310,15
153,Upper Lachlan Shire Council,COUNCIL,3051.4,22749,7
154,Upper Macquarie County Council,COUNTY COUNCIL,,,
155,Uralla Shire Council,COUNCIL,28.2,106712,15
156,Wagga Wagga City Council,COUNCIL,40.5,112545,12
157,Walcha Council,COUNCIL,147.4,67797,7
158,Walgett Shire Council,COUNCIL,4530.6,97694,13
159,Warren Shire Council,COUNCIL,4895.6,23751,10
160,Warrumbungle Shire Council,COUNCIL,6029,8087,7
161,Waverley Council,COUNCIL,13.9,38358,7
162,Weddin Shire Council,COUNCIL,333.6,223192,15
163,Wentworth Shire Council,COUNCIL,26.7,191918,10
164,Western Plains Regional Council,COUNCIL,9893.6,59743,9
165,Western Sydney Regional Organisation of Councils (WSROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
166,Willoughby City Council,COUNCIL,2802.6,5995,9
167,Wingecarribee Shire Council,COUNCIL,7332.1,6973,10
168,Wollondilly Shire Council,COUNCIL,4391.8,3521,8
169,Wollongong City Council,COUNCIL,4566.5,11316,7
170,Woollahra Municipal Council,COUNCIL,1309.4,90114,7
171,Yass Valley Council,COUNCIL,8101.9,14650,9
